FID IID PC1 PC2
ID182 ID182 0.0604645 0.0507138
ID183 ID183 0.00215057 -0.0151346
ID184 ID184 0.0163439 -0.0337351
ID185 ID185 0.011501 -0.0305246
ID186 ID186 -0.0247869 0.0221118
ID187 ID187 0.0145498 -0.0327258
ID188 ID188 -0.025679 0.0218834
ID189 ID189 0.0136862 -0.030745
ID19 ID19 0.0490514 0.0540471
ID190 ID190 -0.0244963 0.0231325
ID191 ID191 -0.0226976 0.0206899
ID192 ID192 -0.0244126 0.022042
ID193 ID193 0.00720656 -0.0207568
ID194 ID194 -0.0131128 0.00815782
ID195 ID195 -0.0249139 0.0217949
ID196 ID196 0.0152993 -0.0319232
ID197 ID197 0.00422376 0.0129238
ID198 ID198 -0.0260939 0.0220952
ID199 ID199 0.01391 -0.0317997
ID2 ID2 0.165145 0.114155
ID20 ID20 -0.0240217 0.0217552
ID200 ID200 -0.0201827 0.0210253
ID201 ID201 -0.0144101 0.00591847
ID202 ID202 -0.0219868 0.0242549
ID203 ID203 0.0144999 -0.0303483
ID204 ID204 0.0152775 -0.0313498
ID205 ID205 0.0132548 -0.0313966
ID206 ID206 -0.0253964 0.0204203
ID207 ID207 -0.0262072 0.0207967
ID208 ID208 -0.0236399 0.0226451
ID209 ID209 0.00794967 -0.0213546
ID21 ID21 0.0281116 -0.0457199
ID210 ID210 0.0144112 -0.0312942
ID211 ID211 -0.0240228 0.0213862
ID212 ID212 0.0133908 -0.0312415
ID213 ID213 -0.0248044 0.0233376
ID214 ID214 -0.0236354 0.019924
ID215 ID215 0.0172458 -0.0338408
ID216 ID216 -0.0255645 0.0228322
ID217 ID217 -0.0257066 0.0223455
ID218 ID218 0.0129776 -0.0322163
ID219 ID219 -0.0238464 0.0199043
ID22 ID22 -0.00971113 0.000166077
ID220 ID220 0.00147157 -0.00699094
ID221 ID221 -0.0215479 0.0227353
ID222 ID222 -0.0244321 0.021259
ID223 ID223 0.0114329 -0.0304232
ID224 ID224 -0.0255351 0.0216475
ID225 ID225 -0.00585748 -0.00725929
ID226 ID226 0.00853249 -0.0232324
ID227 ID227 0.0156076 -0.0325672
ID228 ID228 -0.024205 0.0205056
ID229 ID229 0.0122912 -0.0317791
ID23 ID23 -0.024414 0.0226012
ID230 ID230 -0.0243636 0.0217702
ID231 ID231 0.0123274 -0.0296143
ID232 ID232 -0.024909 0.0209062
ID233 ID233 -0.0259633 0.0223643
ID234 ID234 -0.0262385 0.0217159
ID235 ID235 -0.0231293 0.0199284
ID236 ID236 -0.0240901 0.0199892
ID237 ID237 0.0122939 -0.0294603
ID238 ID238 0.00910515 -0.023134
ID239 ID239 0.0273827 -0.0421108
ID24 ID24 -0.0259099 0.0222453
ID240 ID240 -0.0221598 0.0222812
ID241 ID241 0.013782 -0.0294818
ID242 ID242 -0.0224315 0.0206097
ID243 ID243 -0.0240068 0.0216796
ID244 ID244 -0.0233681 0.0217339
ID245 ID245 0.0118309 -0.0262841
ID246 ID246 0.0121625 -0.031958
ID247 ID247 0.0128698 -0.0321109
ID248 ID248 0.0632414 0.0649003
ID249 ID249 0.0152034 -0.0326932
ID25 ID25 0.0136619 -0.0307073
ID250 ID250 -0.00272185 -0.00339046
ID251 ID251 0.0143981 -0.0349461
ID252 ID252 0.00775534 -0.0205489
ID253 ID253 0.0137902 -0.0315748
ID254 ID254 0.0138561 -0.0312427
ID255 ID255 -0.000312382 -0.0103416
ID256 ID256 0.0140115 -0.0311361
ID257 ID257 0.0124911 -0.0307604
ID258 ID258 -0.0275741 0.0215907
ID259 ID259 -0.0249576 0.0229064
ID26 ID26 -0.0246663 0.0216952
ID260 ID260 0.158043 0.109786
ID261 ID261 -0.0243939 0.0210072
ID262 ID262 -0.0248617 0.021861
ID263 ID263 0.0273518 -0.0426215
ID264 ID264 0.0134152 -0.0299885
ID265 ID265 -0.0245601 0.0233244
ID266 ID266 -0.0249164 0.022261
ID267 ID267 0.0120447 -0.029705
ID268 ID268 -0.0194238 0.0149489
ID269 ID269 0.0160777 -0.0336866
ID27 ID27 0.0282219 -0.0413967
ID270 ID270 -0.022034 0.0215111
ID271 ID271 -0.0246727 0.0217
ID272 ID272 -0.0234013 0.0213291
ID273 ID273 0.00998959 0.0391516
ID274 ID274 -0.0113364 0.00629091
ID275 ID275 0.0294545 -0.0462607
ID276 ID276 -0.0233041 0.0219493
ID277 ID277 -0.0239107 0.0209458
ID278 ID278 0.0135506 -0.0308555
ID279 ID279 -0.0229112 0.0180408
ID28 ID28 -0.0258815 0.022779
ID280 ID280 -0.0242657 0.0206182
ID281 ID281 -0.0235853 0.0231879
ID282 ID282 0.0176287 -0.0369747
ID283 ID283 -0.0250207 0.0220572
ID284 ID284 -0.0256991 0.0218331
ID285 ID285 0.00590439 -0.0223895
ID286 ID286 -0.025778 0.0203957
ID287 ID287 0.0277914 -0.0429975
ID288 ID288 -0.0232086 0.0209111
ID289 ID289 -0.0225481 0.0224497
ID29 ID29 -0.0245544 0.0220249
ID290 ID290 -0.0256869 0.0226826
ID291 ID291 -0.0252762 0.0229239
ID292 ID292 -0.0229008 0.0204729
ID293 ID293 0.0251685 -0.0386872
ID294 ID294 -0.0248613 0.0222474
ID295 ID295 0.0177963 -0.0328127
ID296 ID296 -0.00370583 -0.00348997
ID297 ID297 0.0141887 -0.0312653
ID298 ID298 -0.0229337 0.01957
ID299 ID299 0.0158474 -0.0332563
ID3 ID3 -0.0244198 0.0225919
ID30 ID30 -0.0254429 0.0231722
ID300 ID300 -0.0249517 0.0223207
ID301 ID301 0.0158752 -0.0344896
ID302 ID302 -0.0257059 0.0216115
ID303 ID303 0.0138924 -0.0344575
ID304 ID304 -0.0241479 0.020504
ID305 ID305 -0.0247426 0.0236536
ID306 ID306 -0.0256455 0.0218553
ID307 ID307 -0.0245701 0.0231701
ID308 ID308 -0.0246842 0.0220584
ID309 ID309 -0.0226734 0.0207574
ID31 ID31 -0.0239145 0.0190104
ID310 ID310 0.0127226 -0.0314084
ID311 ID311 -0.0243033 0.0205764
ID312 ID312 0.0280439 -0.042955
ID313 ID313 0.0161996 -0.0327142
ID314 ID314 0.0301669 -0.0434434
ID315 ID315 0.0269558 -0.0417828
ID316 ID316 -0.0257185 0.0203897
ID317 ID317 0.0166549 -0.0314992
ID318 ID318 -0.0229748 0.0222485
ID319 ID319 0.0144139 -0.033016
ID32 ID32 0.0148768 -0.0305
ID320 ID320 0.0117001 -0.031084
ID321 ID321 -0.0226367 0.022015
ID322 ID322 0.0072649 -0.0233858
ID323 ID323 0.0148125 -0.033619
ID324 ID324 -0.0248344 0.0211176
ID325 ID325 0.0145318 -0.030519
ID326 ID326 -0.0264698 0.0205754
ID327 ID327 -0.0253075 0.0214854
ID328 ID328 -0.0249229 0.0214102
ID329 ID329 -0.0262877 0.0247976
ID33 ID33 0.0122541 -0.0286768
ID330 ID330 -0.024939 0.0236817
ID331 ID331 -0.0186889 0.0168822
ID332 ID332 0.016163 -0.0352042
ID333 ID333 -0.0224968 0.0191594
ID334 ID334 -0.0244353 0.0223281
ID335 ID335 -0.0249701 0.021285
ID336 ID336 -0.0192923 0.017145
ID337 ID337 0.0118661 -0.0338496
ID338 ID338 -0.0253321 0.0235556
ID339 ID339 -0.0245511 0.0212634
ID34 ID34 -0.0242992 0.0213806
ID340 ID340 0.00845214 -0.0243833
ID341 ID341 -0.024062 0.0220722
ID342 ID342 -0.0235795 0.0222473
ID343 ID343 0.00541666 0.0365589
ID344 ID344 0.0126106 -0.0302515
ID345 ID345 0.012613 -0.0321634
ID346 ID346 -0.0240518 0.0227028
ID347 ID347 -0.02409 0.0221106
ID348 ID348 -0.0251999 0.0219036
ID349 ID349 0.00659446 -0.019958
ID35 ID35 0.0138496 -0.0339444
ID350 ID350 0.00683516 -0.0230368
ID351 ID351 -0.0237271 0.0228688
ID352 ID352 0.0264254 -0.0414991
ID353 ID353 -0.0242946 0.0201668
ID354 ID354 0.0228206 -0.0385789
ID355 ID355 0.00018278 -0.0125056
ID356 ID356 0.00452457 -0.0176756
ID357 ID357 -0.0217992 0.0194651
ID358 ID358 -0.0183452 0.0161337
ID359 ID359 -0.0244853 0.0227919
ID36 ID36 -0.0241178 0.0214927
ID360 ID360 0.0146033 -0.0329066
ID361 ID361 0.0115121 -0.0289494
ID362 ID362 -0.0237128 0.0202155
ID363 ID363 0.0149713 -0.0319493
ID364 ID364 0.0134222 -0.0318883
ID365 ID365 0.0433028 0.0437932
ID366 ID366 -0.0250486 0.0239957
ID367 ID367 0.0117411 -0.0277313
ID368 ID368 -0.0240346 0.0215999
ID369 ID369 -0.0118842 0.0146363
ID37 ID37 -0.0244106 0.020713
ID370 ID370 0.0119822 -0.0296789
ID371 ID371 -0.0260477 0.0217171
ID372 ID372 -0.025283 0.0214904
ID373 ID373 -0.00437749 -0.000202788
ID374 ID374 -0.0212457 0.0180297
ID375 ID375 0.0139423 -0.029933
ID376 ID376 -0.0243776 0.0239274
ID377 ID377 0.0142952 -0.0337827
ID378 ID378 -0.0239911 0.0214796
ID379 ID379 -0.0244044 0.0204127
ID38 ID38 -0.0240031 0.0212439
ID380 ID380 -0.0245348 0.0206229
ID381 ID381 0.0160139 -0.0369928
ID382 ID382 0.027541 -0.0406552
ID383 ID383 0.0135972 -0.0316918
ID384 ID384 -0.0249674 0.0213349
ID385 ID385 -0.0249325 0.0232338
ID386 ID386 -0.0207905 0.0166562
ID387 ID387 0.0402631 0.0531997
ID388 ID388 0.00196181 -0.00808701
ID389 ID389 0.0125688 -0.0322239
ID39 ID39 -0.0258238 0.0231921
ID390 ID390 0.0139031 -0.0305357
ID391 ID391 0.0132535 -0.0302146
ID392 ID392 0.00815325 -0.025461
ID393 ID393 0.027732 -0.0406008
ID394 ID394 -0.0240054 0.0226654
ID395 ID395 0.0138685 -0.0330986
ID396 ID396 -0.0169659 0.0116952
ID397 ID397 -0.0176875 0.0145033
ID398 ID398 0.020846 -0.036749
ID399 ID399 0.00714602 -0.0226362
ID4 ID4 0.0125663 -0.0322135
ID40 ID40 0.0121081 -0.0297357
ID400 ID400 0.0133846 -0.0325533
ID401 ID401 0.0155765 -0.0309605
ID402 ID402 0.0141755 -0.0311988
ID403 ID403 0.0264213 -0.0425681
ID404 ID404 0.0171262 0.0414029
ID405 ID405 -0.0229972 0.0194043
ID406 ID406 -0.0250454 0.0219822
ID407 ID407 0.0153753 -0.0296004
ID408 ID408 0.00626949 -0.0207349
ID409 ID409 -0.0244327 0.022432
ID41 ID41 0.00649044 -0.0225985
ID410 ID410 0.0153328 -0.0321567
ID411 ID411 0.0148767 -0.0339755
ID412 ID412 0.0141226 -0.0347165
ID413 ID413 0.0123979 -0.0334413
ID414 ID414 0.016449 0.042783
ID415 ID415 -0.0225428 0.0208534
ID416 ID416 -0.024134 0.0218026
ID417 ID417 -0.0218536 0.019636
ID418 ID418 0.0182933 -0.0358727
ID419 ID419 -0.0244006 0.0226614
ID42 ID42 0.0260107 -0.0415095
ID420 ID420 -0.0109862 0.0275579
ID421 ID421 0.0274092 -0.0407506
ID422 ID422 -0.000697984 -0.00247748
ID423 ID423 -0.0253659 0.0224872
ID424 ID424 -0.0246251 0.0195444
ID425 ID425 -0.0241654 0.0213331
ID426 ID426 -0.0245819 0.0211539
ID427 ID427 0.0310288 -0.0428476
ID428 ID428 -0.0246872 0.0220732
ID429 ID429 0.0141858 -0.0339887
ID43 ID43 -0.00430728 -0.000785883
ID430 ID430 0.0171188 -0.03437
ID431 ID431 -0.0233124 0.0211689
ID432 ID432 0.0134913 -0.0332052
ID433 ID433 0.028114 -0.0428671
ID434 ID434 0.0117254 -0.0318637
ID435 ID435 0.0141115 -0.0319213
ID436 ID436 0.013204 -0.0322551
ID437 ID437 0.0146099 -0.030505
ID438 ID438 0.0277524 -0.0409774
ID439 ID439 0.0139925 -0.0295236
ID44 ID44 0.00804661 -0.0235907
ID440 ID440 0.0138493 -0.0296609
ID441 ID441 0.162079 0.111788
ID442 ID442 0.0132728 -0.0326163
ID443 ID443 0.0144742 -0.0307108
ID444 ID444 -0.024879 0.0213038
ID445 ID445 -0.0245821 0.0210464
ID446 ID446 0.0168342 -0.0313634
ID447 ID447 -0.0236898 0.0233691
ID448 ID448 0.0276101 -0.0414245
ID449 ID449 -0.0249449 0.0233062
ID45 ID45 0.0175581 -0.0338299
ID450 ID450 -0.00257401 -0.00811598
ID451 ID451 -0.0203754 0.0174609
ID452 ID452 -0.0240322 0.0211363
ID453 ID453 -0.0248506 0.0240015
ID454 ID454 0.00874389 -0.0222788
ID455 ID455 -0.0243301 0.0228174
ID456 ID456 -0.0237612 0.0187722
ID457 ID457 -0.0255114 0.020603
ID458 ID458 -0.0236175 0.0240947
ID459 ID459 0.0132057 -0.0311977
ID46 ID46 -0.0243477 0.0211843
ID460 ID460 -0.0243726 0.0224354
ID461 ID461 0.0155276 -0.0352833
ID462 ID462 -0.0241131 0.0223412
ID463 ID463 0.0146614 -0.031317
ID464 ID464 0.162222 0.112916
ID465 ID465 0.0146162 -0.0305719
ID466 ID466 0.0133224 -0.0314393
ID467 ID467 -0.0255131 0.0216019
ID468 ID468 0.0147879 -0.030345
ID469 ID469 0.0249045 -0.0431445
ID47 ID47 -0.0247578 0.0217511
ID470 ID470 -0.0230673 0.0216168
ID471 ID471 0.00672669 -0.0205962
ID472 ID472 0.0131569 -0.0299524
ID473 ID473 -0.0229431 0.0213403
ID474 ID474 0.0171199 -0.0325581
ID475 ID475 -0.0250361 0.0219697
ID476 ID476 -0.0254535 0.020972
ID477 ID477 -0.0243747 0.0221184
ID478 ID478 0.00877298 -0.0246166
ID479 ID479 -0.020139 0.0153914
ID48 ID48 -0.0225185 0.0197329
ID480 ID480 -0.0236254 0.0205543
ID481 ID481 0.0151903 -0.0322146
ID482 ID482 0.0101527 -0.0246981
ID483 ID483 0.0161188 -0.0333703
ID484 ID484 0.0202908 -0.033351
ID485 ID485 0.00804659 -0.0240366
ID486 ID486 0.021753 -0.0391189
ID487 ID487 0.0146352 -0.0312918
ID488 ID488 0.0281679 -0.0419058
ID489 ID489 0.0121826 -0.0298441
ID49 ID49 0.0155274 -0.031462
ID490 ID490 -0.0254883 0.0219379
ID491 ID491 -0.0179839 0.0192483
ID492 ID492 -0.0241188 0.0203566
ID493 ID493 0.0127263 -0.0317596
ID494 ID494 0.0118238 -0.0306203
ID495 ID495 0.0275567 -0.0430036
ID496 ID496 0.0145924 -0.0316321
ID497 ID497 0.0143366 -0.03184
ID498 ID498 -0.000511943 -0.00815527
ID499 ID499 -0.0245905 0.0211164
ID5 ID5 -0.0244834 0.0209942
ID50 ID50 0.0239646 -0.0270092
ID500 ID500 -0.0239897 0.0212152
ID501 ID501 -0.024068 0.0235434
ID502 ID502 0.0161646 -0.0328186
ID503 ID503 -0.0247346 0.0219008
ID504 ID504 -0.0177403 0.01563
ID505 ID505 -0.00209405 -0.000941531
ID506 ID506 0.0148723 -0.0311281
ID507 ID507 0.0167543 -0.0306169
ID508 ID508 -0.0239456 0.0214395
ID509 ID509 -0.0229991 0.0215018
ID51 ID51 0.0133105 -0.0319322
ID510 ID510 0.0063998 -0.0212968
ID511 ID511 0.0144949 -0.0313185
ID512 ID512 -0.0236094 0.0209805
ID513 ID513 -0.0251766 0.0242797
ID514 ID514 0.162657 0.11289
ID515 ID515 0.0140871 -0.0310916
ID516 ID516 -0.0246389 0.0209482
ID517 ID517 0.0111095 -0.0271378
ID518 ID518 -0.0246973 0.0195836
ID519 ID519 -0.0179948 0.0124987
ID52 ID52 -0.0252756 0.0231957
ID520 ID520 0.0230094 -0.0362236
ID521 ID521 -0.00273313 -0.00204748
ID522 ID522 -0.0187116 0.0210043
ID523 ID523 0.0113801 -0.0304939
ID524 ID524 -0.0238435 0.0218121
ID525 ID525 -0.0234423 0.0218339
ID526 ID526 0.00761666 -0.0259226
ID527 ID527 -0.0260445 0.0224227
ID528 ID528 0.010274 -0.0258007
ID529 ID529 -0.0163417 0.0122852
ID53 ID53 0.0150891 -0.0286886
ID530 ID530 -0.0048403 -0.00276359
ID531 ID531 -0.00362514 0.000357442
ID532 ID532 -0.00563591 -0.0043247
ID533 ID533 0.0154722 -0.0332256
ID534 ID534 0.0133484 -0.0323729
ID535 ID535 -0.0239216 0.0207283
ID536 ID536 0.0142073 -0.0318498
ID537 ID537 0.00514813 -0.0198987
ID538 ID538 -0.0230481 0.0202712
ID539 ID539 -0.023685 0.0226409
ID54 ID54 -0.00658165 -0.00260287
ID540 ID540 -0.0257699 0.0215236
ID541 ID541 -0.0238542 0.021709
ID542 ID542 0.0298377 -0.0428453
ID543 ID543 0.0537456 -0.0368935
ID544 ID544 0.0140217 -0.0314058
ID545 ID545 -0.0241401 0.0219015
ID546 ID546 0.0299804 -0.0412512
ID547 ID547 -0.0240866 0.0221356
ID548 ID548 0.0128853 -0.0323347
ID549 ID549 -0.0236232 0.0224338
ID55 ID55 0.0147531 -0.0288365
ID550 ID550 0.0145288 -0.03093
ID551 ID551 -0.0190171 0.0222617
ID552 ID552 -0.0229679 0.0213
ID553 ID553 -0.0230707 0.022824
ID554 ID554 -0.0242768 0.0220585
ID555 ID555 -0.0255786 0.0209883
ID556 ID556 0.028171 0.0468621
ID557 ID557 -0.0271236 0.0235804
ID558 ID558 0.0153164 -0.0311899
ID559 ID559 0.153738 0.107696
ID56 ID56 -0.0248582 0.0247526
ID560 ID560 0.00787092 -0.0230142
ID561 ID561 -0.0245221 0.0228848
ID562 ID562 -0.024588 0.0210142
ID563 ID563 -0.022356 0.0212564
ID564 ID564 0.0160661 -0.0347989
ID565 ID565 -0.0245625 0.0215596
ID566 ID566 -0.023415 0.0204983
ID567 ID567 0.0128619 -0.0289697
ID568 ID568 0.0269931 -0.0432884
ID569 ID569 -0.0254947 0.0212334
ID57 ID57 0.0147231 -0.0334531
ID570 ID570 -0.0246067 0.0221528
ID571 ID571 -0.0234864 0.0229062
ID572 ID572 -0.021438 0.0215366
ID573 ID573 -0.0240726 0.0215472
ID574 ID574 -0.0240396 0.0208519
ID575 ID575 -0.025668 0.0212766
ID576 ID576 -0.0250478 0.0222054
ID577 ID577 0.0145551 -0.0306839
ID578 ID578 -0.0236939 0.0247835
ID579 ID579 0.0139451 -0.0325683
ID58 ID58 -0.0253801 0.0215922
ID580 ID580 -0.0250441 0.0217814
ID581 ID581 -0.0251435 0.0204373
ID582 ID582 0.00826372 -0.0235616
ID583 ID583 0.0146658 -0.0324572
ID584 ID584 0.0137915 -0.0322035
ID585 ID585 0.0144046 -0.0345765
ID586 ID586 -0.0256102 0.0202145
ID587 ID587 0.007403 0.0295876
ID588 ID588 -0.0248716 0.0221573
ID589 ID589 0.0134253 -0.0306769
ID59 ID59 0.0206992 -0.0350298
ID590 ID590 0.0144585 -0.0344122
ID591 ID591 -0.024449 0.0218877
ID592 ID592 -0.0252339 0.0220261
ID593 ID593 0.0282825 -0.0428882
ID594 ID594 0.0155923 -0.0318108
ID595 ID595 0.0147513 -0.0329777
ID596 ID596 -0.0250238 0.0225429
ID597 ID597 -0.024659 0.0216455
ID598 ID598 -0.0112736 0.0086398
ID599 ID599 0.0115519 -0.0303213
ID6 ID6 0.0203827 0.0419736
ID60 ID60 -0.0230391 0.020664
ID600 ID600 0.0125992 -0.0316873
ID601 ID601 0.0139307 -0.0303465
ID602 ID602 0.0125685 -0.0297033
ID603 ID603 -0.0245745 0.0233035
ID604 ID604 -0.0242605 0.0212093
ID605 ID605 -0.0247663 0.0226417
ID606 ID606 0.0151744 -0.0333101
ID607 ID607 -0.012908 0.00833278
ID608 ID608 -0.0243634 0.0212796
ID609 ID609 0.00631981 -0.0212745
ID61 ID61 0.0101082 -0.0279507
ID610 ID610 0.00117601 -0.00765136
ID611 ID611 -0.0242521 0.0235891
ID612 ID612 0.0148233 -0.031824
ID613 ID613 -0.0248116 0.0224461
ID614 ID614 -0.0238936 0.0227323
ID615 ID615 0.0142302 -0.0322274
ID616 ID616 -0.0247089 0.0211207
ID617 ID617 0.019355 -0.0397482
ID618 ID618 0.0148796 -0.0331754
ID619 ID619 0.0141781 -0.029258
ID62 ID62 -0.0232609 0.0200841
ID620 ID620 0.0122602 -0.0317283
ID621 ID621 -0.0237755 0.0212426
ID622 ID622 -0.0232682 0.0219327
ID623 ID623 0.0132306 -0.0323806
ID624 ID624 0.0141436 -0.0304486
ID625 ID625 0.0260983 -0.0396467
ID626 ID626 -0.0251409 0.0225493
ID627 ID627 -0.0229695 0.0220433
ID628 ID628 0.0116551 -0.030359
ID629 ID629 0.0224197 -0.0390126
ID63 ID63 0.058208 0.063227
ID630 ID630 0.0153102 -0.0342867
ID631 ID631 -0.024221 0.0206308
ID632 ID632 -0.0205618 0.0182668
ID633 ID633 0.0131557 -0.0312905
ID634 ID634 -0.0256013 0.0239596
ID635 ID635 0.015509 -0.0325615
ID636 ID636 0.0289361 -0.041655
ID637 ID637 -0.0241733 0.0210621
ID638 ID638 0.0146574 -0.0304899
ID639 ID639 -0.02514 0.0239232
ID64 ID64 0.0173187 -0.0304208
ID640 ID640 -0.0201309 0.014632
ID641 ID641 -0.0237765 0.0208543
ID642 ID642 -0.0233806 0.0222247
ID643 ID643 -0.0256901 0.0231684
ID644 ID644 -0.0251631 0.0217709
ID645 ID645 -0.0249808 0.0211472
ID646 ID646 -0.0254361 0.0195551
ID647 ID647 -0.0240799 0.0217544
ID648 ID648 0.0144932 -0.0316522
ID649 ID649 -0.0247826 0.023014
ID65 ID65 0.0150734 -0.0328469
ID650 ID650 0.0145069 -0.033446
ID651 ID651 0.0668887 0.066708
ID652 ID652 -0.0241455 0.0210607
ID653 ID653 -0.02515 0.0217659
ID654 ID654 -0.0239042 0.0222405
ID655 ID655 -0.0244058 0.022639
ID656 ID656 -0.0242922 0.0214813
ID657 ID657 0.162148 0.112995
ID658 ID658 -0.0252265 0.0198824
ID659 ID659 0.00850984 -0.0236827
ID66 ID66 0.0132387 -0.0308812
ID660 ID660 -0.0237245 0.0233223
ID661 ID661 -0.025128 0.0221819
ID662 ID662 -0.0226261 0.0189591
ID663 ID663 -0.023185 0.0196172
ID664 ID664 -0.0238795 0.0233764
ID665 ID665 -0.00611287 -4.88541e-05
ID666 ID666 0.04787 0.0556412
ID667 ID667 -0.0235158 0.0200121
ID668 ID668 0.0121564 -0.0300322
ID669 ID669 0.0144035 -0.0314659
ID67 ID67 -0.0229669 0.0213115
ID670 ID670 -0.0247057 0.0216018
ID671 ID671 -0.0252402 0.0233088
ID672 ID672 -0.00118303 -0.0110934
ID673 ID673 0.0140827 -0.032823
ID674 ID674 0.0225995 -0.0378035
ID675 ID675 -0.0233459 0.0222674
ID676 ID676 0.00862243 -0.0222467
ID677 ID677 -0.0233692 0.0206726
ID678 ID678 0.0134945 -0.0293343
ID679 ID679 0.163546 0.114342
ID68 ID68 -0.0236459 0.0195185
ID680 ID680 0.0632949 0.06435
ID681 ID681 -0.0249148 0.0235166
ID682 ID682 0.0128215 -0.0288591
ID683 ID683 0.00316249 0.0275803
ID684 ID684 -0.0238207 0.0197093
ID685 ID685 0.0150046 -0.0342381
ID686 ID686 -0.0240438 0.0211504
ID687 ID687 -0.0236475 0.0228202
ID688 ID688 0.0286588 -0.0426273
ID689 ID689 -0.0246064 0.0213023
ID69 ID69 0.00893944 -0.0246894
ID690 ID690 0.0129076 -0.0315811
ID691 ID691 0.014344 -0.0294744
ID692 ID692 -0.0236114 0.0235307
ID693 ID693 -0.0243715 0.0230262
ID694 ID694 0.0133997 -0.0313342
ID695 ID695 0.0138216 -0.0360149
ID696 ID696 -0.0239801 0.0209078
ID697 ID697 -0.0242401 0.0218883
ID698 ID698 0.0138972 -0.0295072
ID699 ID699 0.0168924 -0.0326491
ID7 ID7 0.0154618 -0.0320614
ID70 ID70 0.013402 -0.0328398
ID700 ID700 -0.0231624 0.0216976
ID701 ID701 0.00709742 -0.0197826
ID702 ID702 -0.0239823 0.0220945
ID703 ID703 -0.0242695 0.0208913
ID704 ID704 0.0155204 -0.0328417
